,artist,title,album,decade,year,date,lyric
0,Beastie Boys,Rhymin  Stealin,Licensed to Ill,80s,1986,1986-Nov-15,because mutiny on the bountys what were all about im gonna board your ship and turn it on out no soft sucker with a parrot on his shoulder cause im bad gettin bolder cold getting colder terrorizing suckers on the seven seas and if youve got beef youll get capped in the knees we got sixteen men on a dead mans chest and i shot those suckers and ill shoot the rest most illingest bboy i got that feeling cause i am most ill and im rhymin and stealin snatching gold chains nicking pieces of eight i got your money and your honey and the fly name plate we got wenches on the benches and bitties with titties housing all girlies from city to city one for all and all for one taking out emcees with a big shotgun all for one and one for all because the beastie boys have gone awol friggin in the riggin and cuttin your throat big biting suckers gettin thrown in the moat we got maidens and wenches man theyre on the ace ah captain bligh is gonna die when we break his face most illingest bboy well i got that feeling i am most ill and im rhymin and stealin ali baba and the forty thieves ali baba and the forty thieves ali baba and the forty thieves ali baba and the forty thieves ali baba and the forty thieves ali baba and the forty thieves ali baba and the forty thieves ali baba and the forty thieves torching and crakin and rhymin and stealin robbin and raping busting two in the ceiling im wheelin im dealin im drinking not thinking never cower never shower and im always stinking yo ho ho and a pint of brass monkey and when my girlie shakes her hips she sure gets funky skirt chasin free basin killin every village we drink and rob and rhyme and pillage most illingest bboy well i got that feeling i am most ill and im rhymin and stealin i was ive been drinking my rum a def son of a gun i fought the law and i cold won blackbeards weak moby dicks on the chicks cause i pull out the jammy and squeeze off six my pistol is loaded i shot betty crocker deliver colonel sanders down to davey jones locker rhymin and stealin in a drunken state and ill be rockin my rhymes all the way to hells gate most illingest bboy i got that feeling and i am most ill and im rhymin and stealin most illingest bboy i got that feeling i am most ill and im rhymin and stealin most illingest bboy i got that feeling cause i am most ill and im rhymin and stealin most illingest bboy i got that feeling i am most ill and im rhymin and stealin most chillinest bboy i am most ill and im rhymin and stealin most killingest bboy i am most ill and im rhymin and stealin most dustin out bboy i tossin my dust most finkiest bboy im doin that finkin most rhyminest bboy im stretchin my shade most shootinest bboy i think youre shit most rhyminest bboy ill steal your shit homeboy most taxinest bboy i tax you boy most illingest illingest illingest bboy waxin all yall squares yeah
1,Beastie Boys,The New Style,Licensed to Ill,80s,1986,1986-Nov-15,and on the cool check in center stage on the mic and we puttin it on wax its the new style four and three and two and one and when im on the mic the suckers run down with adrock and miked and you aint and i got more juice than picasso got paint got rhymes that are rough and rhymes that are slick im not surprised youre on my dick b e a s t i e what up miked aw yeah thats me i got franks and pork and beans always bust the new routines i get it i got it i know its good the rhymes i write you wish you would im never in training my voice is not straining people always biting and im sick of complaining so i went into the locker room during classes went into your locker and i smashed your glasses youre from secaucus im from manhattan youre jealous of me because your girlfriend is cattin kick it father to many married to none and in case youre unaware i carry a gun stepped into the party the place was over packed saw the kid that dissed my homeboy shot him in the back man i had to get a beeper cause my phone is tapped you better keep your mouth shut cause im fully strapped i got money in the bank i can still get high thats why your girlfriend thinks that im so fly ive got money and juice twin sisters in my bed their father had envy so i shot him in the head if i played guitar id be jimmy page the girlies i like are underage girls with boyfriends are the kinds i like ill steal your honey like i stole your bike my father hes jealous cause im making that green ive got a list of girlies numbers from the places ive been kick it you wanna know why because im october st that is my date of birth i got to the party you know what i did the smurf taxin all the females from coast to coast and when i get my fill im chilly most we ragtag girlies back at the hotel and then we all switch places when i ring the bell i chill at white castle cause its the best but im fly at fatburger when when hes im way out west check k i n g a d whammy all the fine ladies theyre on my jammy went to the prom wore the fly blue rental got six girlies in my lincoln continental i met a girl at the party and she started to flirt i told her some rhymes and she pulled up her skirt spent some bank got a high powered jumbo rolled up a wooly whatd he do and i watched columbo let me clear my throat kick it over here baby pop and let all the fly skimmies feel the beat mmm drop coolin on the corner on a hot summers day just me my posse and mca a lot of beer a lot of girls and a lot of cursin automatic on my person got my hand in my pocket and my fingers on the trigger my posses gettin big and my posses gettin bigger some voices got treble some voices got bass we got the kind of voices that are in your face like the bun to the burger and like the burger to the bun like the cherry to the apple to the peach to the plum im the king of the ave and im the king of the block well im mca and im the king adrock well im miked i got all the fly juice on the checkin at the party on the forty deuce walking down the block with the fresh fly threads beastie boys fly the biggest heads ho ho ho ho ho ho ho ho ho ho ho brooklyn ho ho ho ho ho ho
2,Beastie Boys,Shes Crafty,Licensed to Ill,80s,1986,1986-Nov-15,well this girl came up to me she says shes new in town but the crew been said they seen her around i thought they were right but i didnt want to know the girlie was def and she wanted to go i think her name is lucy but they all call her loose i think i thought i seen her on eighth and forty deuce the next thing she said was my place or yours lets kick some bass behind closed doors we got into the cab the cab driver said he recognized my girlie from the back of her head he said a little something about tip to base so i made him stop the cab to get out of the place shouldnt have looked back man ill always regret it somethings going on and ill probably never get it she was crying like a baby stupid dumb its just too bad that girls a bum shes crafty she gets around shes crafty shes always down shes crafty shes got a gripe shes crafty and shes just my type shes crafty i spent my last dollar to buy a sabrett when i seen this girl i could never forget now i like nothing better than a pretty girls smile and i havent seen a smile that pretty in a while the girl came up to me she said she loved the show i asked her to come home and she couldnt say no we got to the crib theres adam and d we didnt say a word they just stared at me i said i dont know her i just met her tonight and adrock started hiding everything in sight d pulled me over said hide your gold the girl is crafty like ice is cold the girl is crafty she knows all the moves i started playing records she knew all the grooves he thought she was a thief and d was right but i just figured shed spend the night when i woke up late in the afternoon she had taken all the things from inside his room i found myself naked in the middle of the floor she had taken the bed and the chest of drawers the mirror the tv the new guitar cord my remote control and my old skateboard she robbed us blind she took all we owned and the boys blamed me for bringing her home shes crafty she gets around shes crafty shes always down shes crafty shes got a gripe shes crafty and shes just my type shes crafty uh yeah
3,Beastie Boys,Posse in Effect,Licensed to Ill,80s,1986,1986-Nov-15,yes yes yall and you dont stop keep it on and shockin the place well im mca i got nothin to prove pay attention my intention is to bust a move i drink quarts and cans and bottles and sixes between the turntables keep the vodka and the mixes well im miked i got the deuces wild a list of girlies numbers that ive dialed i do the smurf the popeye and the jerry lewis i like bullwinkle but i dont like brutus well im schoolin in the boys room coolin by the locker all the girls in class knows that im the cool rocker punk in the hall man i should of ought to hit him had the fresh rhymes and the kid cold bit em smokin in the boys room is what i do best while you were at a party your girlfriend fessed i keep a pistol in my pocket so you better be cautious fly around the world but it makes me nauseous mikeds day off everyday of the week i got to the party and i did the freak i got a girl in the castle and one in the pagoda you know i got rhymes like abe vigoda im a def manhattan killer a rhyme thriller a mic in my hand and a mouth full of miller i got a hat not a visor i drink budweiser the turntables up on the drum riser the needles in the groove and the vinyls on the platter i know that im fly man theres no need to flatter i travel around the globe its keeping girlies dizzy my names miked now watch me get busy yall g g get busy yall g g get busy yall youre a fake wearin sucker whose gold got rusted dusted rusted mustard sgusted cheaper than a hot dog with no mustard mustard mustard mustard mustard you tried to steal my fresh and you got cold busted busted busted busted busted because your crews all soft and im disgusted sgusted sgusted sgusted im from downtown from the city from of manhattan i got a lotta girlies and not ones cattin my posses in effect and were doin the do and we got more rhymes than your whole damn crew caught you poppin that weak and you must have been dusted dusted dusted dusted dusted stuck your head in the toilet and stone cold flushed it flushed it flushed it flushed it flushed it word
4,Beastie Boys,Slow Ride,Licensed to Ill,80s,1986,1986-Nov-15,they got a committee to get me off the block cause i say my rhymes loud and i say em nonstop because being bad news is what were all about we went to white castle and we got thrown out i got my boy miked i got the king adrock i got the jammy with the ammo inside my sock i shot homeboy but the bullet was a dud so i reached in the miller cooler grabbed a cool bud slow riding gun hidin on the go im fly like an eagle and i drink old crow im the king of the classroom coolin in the back my teacher had beef so i gave her a smack she chased me out of class she was strapped with a ruler went to the bathroom rolled myself a wooler with bottle in hand at the microphone stand ay yo homeboy what you drinkin man i got money i got juice i got to the party and i got loose i got rhythms i got rhymes i got the girlies with the def behinds i got ill i got busted i got dust and i got dusted i got gold i got funky i got the new dance they call the brass monkey because im hard hittin always bitten cool as hell i got trees on my mirror so my car wont smell sittin around the house gettin high and watchin tube eating colonels chicken drinkin heineken brew im a gangster im a prankster im the king of the ave im hated confrontated for the juice that i have all the fine ladies are making a fuss but i cant pay attention cause im on that dust
5,Beastie Boys,Girls,Licensed to Ill,80s,1986,1986-Nov-15,girls all i really want is girls and in the morning its girls cause in the evening its girls i like the way that they walk and its chill to hear them talk and i can always make them smile from white castle to the nile back in the day there was this girl around the way she liked my home piece mca he said he would not give her play i asked him please he said you may her pants were tight and thats ok if she would dance i would dj we took a walk down to the bay i hope shell say hey me and you should hit the hay i asked her out she said no way i shouldve probably guessed her gay so i broke north with no delay i heard she moved real far away that was two years ago this may i seen her just the other day jockin miked to my dismay girls to do the dishes girls to clean up my room girls to do the laundry girls and in the bathroom girls thats all i really want is girls two at a time i want girls with new wave hairdos i want girls i ought to whip out my girls girls girls girls girls
6,Beastie Boys,Fight for Your Right,Licensed to Ill,80s,1986,1986-Nov-15,kick it you wake up late for school man you dont wanna go you ask your mom please but she still says no you missed two classes and no homework but your teacher preaches class like youre some kind of jerk you gotta fight for your right to party your pop caught you smoking and he said no way that hypocrite smokes two packs a day man living at home is such a drag now your mom threw away your best porno mag you gotta fight for your right to party you gotta fight dont step out of this house if thats the clothes youre gonna wear ill kick you out of my home if you dont cut that hair your mom busted in and said whats that noise aw mom youre just jealous its the beastie boys you gotta fight for your right to party you gotta fight for your right to party parrrrrrty parrrrrrty yeah
7,Beastie Boys,No Sleep Till Brooklyn,Licensed to Ill,80s,1986,1986-Nov-15,no sleep till brooklyn foot on the pedal never ever false metal engine running hotter than a boiling kettle my jobs aint a job its a damn good time city to city im running my rhymes on location touring around the nation beastie boys always on vacation itchy trigger finger but a stable turntable i do what i do best because im illing and able aint no faking your money im taking going coast to coast watching all the girlies shaking while youre at the job working nine to five the beastie boys at the garden cold kicking it live no sleep till another plane another train another bottle in the brain another girl another fight another drive all night our managers crazy he always smokes dust hes got his own room at the back of the bus tour around the world you rock around the clock plane to hotel girls on the jock were trashing hotels like its going out of style getting paid along the way cause its worth your while four on the floor adrocks out the door mcas in the back cause hes sleeping with a whore we got a safe in the trunk with money in a stack with dice in the front and brooklyns in the back white boys got more rhymes no sleep till no sleep till brooklyn no sleep till brooklyn aint seen the light since we started this band so mca get on the mic my man born and bred brooklyn usa they call me adam yauch but im mca like a lemon to a lime a lime to a lemon i sip the def ale with all the fly women got limos arena and tv shows autograph pictures and classy hoes step off holmes get out of my way taxing little girlies from here to la waking up before i get to sleep cause ill be rocking this party eight days a week no sleep till no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn no sleep till brooklyn
8,Beastie Boys,Paul Revere,Licensed to Ill,80s,1986,1986-Nov-15,now heres a little story ive got to tell about three bad brothers you know so well it started way back in history with adrock mca miked been had a little horsey named paul revere just me and my horsey and a quart of beer riding across the land kicking up sand sheriffs posses on my tail cause im in demand one lonely beastie i be all by myself without nobody the sun is beating down on my baseball hat the air is getting hot the beer is getting flat looking for a girl i ran into a guy his name was mca i said howdy he said hi he told a little story that sounded well rehearsed four days on the run and that hes dying of thirst the brew was in my hand and he was on my tip his voice was hoarse his throat was dry he asked me for a sip he said can i get some i said you cant get none had a chance to run pulled out his shotgun quick on the draw i thought id be dead he put the gun to my head and this is what he said now my name is mca ive got a license to kill i think you know what time it is its time to get ill now what do we have here an outlaw and his beer i run this land you understand ive made myself clear we stepped into the wind he had a gun i had a grin you think this storys over but its ready to begin now i got the gun you got the brew you got two choices of what you can do its not a tough decision as you can see i can blow you away or you can ride with me i said ill ride with you if you can get me to the border the sheriffs after me for what i did to his daughter i did it like this i did it like that i did it with a wiffleball bat so im on the run the cop got my gun and right about now its time to have some fun the king adrock that is my name and i know the fly spot where they got the champagne we rode for hours then we hit the spot the beat was a bumping and the girlies was hot this dude was staring like he knows who we are we took the empty spot next to him at the bar mca said yippie yo you know this kid i said i didnt but i know he did the kid said pulled out the jammy aimed it at the sky he yelled and let two fly hands went up and people hit the floor he wasted two kids that ran for the door mca was with it and hes my ace so i grabbed the piano player and i punched him in the face piano players out the music stopped his boy had beef and he got dropped mca snatched the gold i grabbed two girlies and a beer thats cold
9,Beastie Boys,Hold It Now Hit It,Licensed to Ill,80s,1986,1986-Nov-15,hold it now hit it yo leroy ahh yeah yeah yeah why dont you hook up that def jam right about now now i chill real ill when i start to chill when i fill my pockets with a knot of dollar bills sipping pints of ale out the window sill when i get my fill im chilly chill now i just got home because im out on bail whats the time its time to buy ale peter eater parking meter all of the time if i run out of ale its thunderbird wine miller drinking chicken eating dress so fly i got friends in high places that are keeping me high get down with miked and it aint no hassle i got the ladies of the eighties from here to white castle hold it now hit it yo leroy its my drum its my hold it now its my rhyme and now its me adam yauch in the place to be all the girls are on me cause im down with miked im down with miked and it aint no baloney for real not phony oe and rice a roni i come out at night cause i sleep all day well im the king adrock and hes mca well im cruisin im bruisin im never ever losing im in my car im going far and dust is what im using around the way is where im from and im from manhattan and im not a bum because youre pud slapping ball flapping got that juice my names miked and i can do that jerry lewis hold it now hit it yo leroy yo that was real def man try that again man i like that def stuff boy hip hoppin and body rockin doin the do beer drinking breath stinking sniffing glue belly fillin always illin bustin caps my names miked and i write my own snaps im a peep show seeking on the forty deuce im a killer at large and im on the loose pistol packing monkey drinking no money bum i come from brooklyn cause thats where im from cheap skatin perpetrating money hungry jerk every day i drink oe and i dont go to work you drippy nose knucklehead youre wet behind the ears you like men and we like beer hold it now hit it yo leroy bust that choco lotto what huh yo man pass that over here man alright king of the ave with the def female youre rhymin and stealin with the freshest ale kid cooling at the crib watching my tv ed norton ted knight and mr e d pump it up homeboy just dont stop chef boyardee cooling on the pot i take no slack cause i got the knack im never dusting out cause i tossed that crack the king adrock that is my name yall drinking moet and we got the champagne a quarter droppin going shoppin buyin wigs surgeon general cut professor dj thigs hold it now hit it hit it hold it now hit it yo leroy
